,Pad_len (mm),Pad_area (mm2),Ground_Pad (fF),Finite Element Analysis Freq (GHz),Frequency from Capacitance (GHz),EPR Frequency (GHz)
0,0.1,0.01,30.19904,8.16692935923892,7.391102606292421,7.447307179452808
1,0.10689655172413794,0.011426872770511298,32.96735,7.85029509486069,7.100319199590627,7.18837817921601
2,0.11379310344827585,0.01294887039239001,35.80893,7.56376311810974,6.835608459846415,6.982504461033059
3,0.1206896551724138,0.014565992865636148,38.68578,7.30598634646893,6.596260147630556,6.774674915482795
4,0.1275862068965517,0.0162782401902497,41.60795,7.06640703681216,6.3776752069804195,6.543367007902884
5,0.13448275862068965,0.01808561236623068,44.61591,6.85179165789844,6.174355199844131,6.365159465466492
6,0.1413793103448276,0.019988109393579073,47.66978,6.64810693399229,5.986984559510003,6.18500431620706
7,0.14827586206896554,0.02198573127229489,50.70111,6.47809546885921,5.8172107106912705,6.036150561197245
8,0.15517241379310343,0.024078478002378115,53.77231,6.29493356481044,5.659393605846835,5.878683763873182
9,0.16206896551724137,0.02626634958382877,56.83226,6.13191855147565,5.514493232824964,5.741359835203036
10,0.16896551724137931,0.028549346016646847,59.93759,5.98216882817975,5.378453884520071,5.607955566045302
11,0.17586206896551723,0.030927467300832342,63.04154,5.84468924902738,5.25222985914403,5.488196405562048
12,0.18275862068965518,0.03340071343638525,66.19847,5.71015072992941,5.13270059707421,5.3705475128564
13,0.1896551724137931,0.03596908442330558,69.39475,5.57631557635377,5.019761924555527,5.254432999844855
14,0.19655172413793104,0.038632580261593344,72.55411,5.46207562833211,4.915262769784945,5.152458533911042
15,0.20344827586206896,0.04139120095124851,75.74362,5.35146122033335,4.8162212722880335,5.054750166998245
16,0.2103448275862069,0.044244946492271106,78.9471,5.24246759793907,4.722628944024251,4.95816543457595
17,0.21724137931034482,0.047193816884661115,82.18079,5.13763264197024,4.633561111154322,4.865473619912878
18,0.22413793103448273,0.05023781212841854,85.5411,5.04553796311457,4.546222433989901,4.782976149796827
19,0.23103448275862068,0.053376932223543394,88.82764,4.95030472975128,4.4654763865452605,4.698296977569561
20,0.2379310344827586,0.056611177170035665,92.128,4.86911752468623,4.388632446957707,4.6252561347375325
21,0.24482758620689654,0.05994054696789536,95.46887,4.78129313072721,4.314806070930703,4.546448228798406
22,0.2517241379310345,0.06336504161712248,98.78941,4.70103359648937,4.24505171634679,4.47428641545173
23,0.25862068965517243,0.06688466111771701,102.1511,4.62836669692085,4.177816536052209,4.40883662829695
24,0.2655172413793104,0.07049940546967895,105.52369,4.55103148313022,4.113517462593519,4.3390174228270295
25,0.27241379310344827,0.07420927467300832,109.00146,4.4799638677444,4.0502677571906025,4.274745877486736
26,0.27931034482758615,0.07801426872770509,112.37636,4.40996356639422,3.9916331844215214,4.2113212023196285
27,0.28620689655172415,0.08191438763376932,115.86425,4.34726535335546,3.933668147738107,4.154431070853587
28,0.2931034482758621,0.08590963139120096,119.22454,4.28405947838269,3.8801767267044784,4.096976975978156
29,0.3,0.09,122.68525,4.22431470118157,3.8273342405615565,4.042588378065003
