,Pos1_x(mm),Pos2_x(mm),C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq_Q1(GHz),Freq_Q2(GHz),Freq_C1(GHz),Freq_C2(GHz),Freq_Q1_EPR(MHz),Freq_Q2_EPR(MHz),Freq_C1_EPR(MHz),Freq_C2_EPR(MHz),chi_q12(MHz),chi_q1_c1(MHz),chi_q2_c1(MHz),chi_q1_c2(MHz),chi_q2_c2(MHz)
0,0,14.5,-0.4923,-107.03128,-97.18904,3.86477081237285,4.17978031409991,4.38430031256913,6.95611591539231,3864.77065047608,4000.632193144198,4187.962985952479,6955.180721547665,-0.00024314342403411864,0.0013523528089523316,-1.6721725463867185e-08,4.2824554443359375e-07,1.7379441433906555
1,0,12.96111111111111,-0.4923,-107.03128,-97.18904,3.86492630957259,4.17920173977795,4.38920001206385,6.9586765472157,3864.9257546601284,4000.1041341153027,4192.443895154034,6957.742573773149,-0.00023982458400726318,0.0049491174440383905,-4.661178588867187e-08,4.295253753662109e-07,1.7359636045589446
2,0,11.422222222222222,-0.4923,-107.03128,-97.18904,3.865390977346,4.18214408449363,4.39092479480811,6.95966572037349,3865.3899138432007,4002.7927650112474,4194.036975230875,6958.728106023611,-0.0002527516460418701,0.009587920300483704,-5.5428504943847655e-08,4.293727874755859e-07,1.74234945986557
3,0,9.883333333333333,-0.4923,-107.03128,-97.18904,3.8669535487016,4.17970673929803,4.38643301816172,6.95351218037954,3866.952000872787,4000.567990450576,4189.91408601049,6952.5777309086125,-0.00024170359611511228,0.014492530572891234,-6.215953826904297e-08,4.5155334472656247e-07,1.7363833160877227
4,0,8.344444444444443,-0.4923,-107.03128,-97.18904,3.86692722438478,4.17888057850612,4.38457572618198,6.95639345253266,3866.925478902523,3999.8090813678514,4188.2516907370755,6955.460197511479,-0.00023562115192413328,0.016512011962890625,8.852958679199218e-09,4.4826889038085934e-07,1.7344742357501983
5,0,6.805555555555555,-0.4923,-107.03128,-97.18904,3.8670799825572,4.17653661209603,4.37765670915245,6.95957197006345,3867.0783009653546,3997.6687945695558,4181.920355975028,6958.642086849335,-0.0002363459358215332,0.016511926560401916,-3.987789154052734e-08,4.7364044189453123e-07,1.7288446836452482
6,0,5.266666666666667,-0.4923,-107.03128,-97.18904,3.86679040747412,4.17837912449088,4.38988515088007,6.95460624749411,3866.789181226159,3999.351587261691,4193.060110185761,6953.671678421773,-0.00023373915672302245,0.01123856408882141,-3.3283233642578125e-08,4.483242034912109e-07,1.736877440032959
7,0,3.7277777777777774,-0.4923,-107.03128,-97.18904,3.86565720996882,4.17744921945268,4.38500774330827,6.95986708649685,3865.6564946796843,3998.5021360859905,4188.627603608461,6958.9350722321715,-0.00023789534187316895,0.006587269161224365,-1.5435218811035154e-08,4.5133972167968746e-07,1.732680456626892
8,0,2.1888888888888887,-0.4923,-107.03128,-97.18904,3.86521459353436,4.17899744221437,4.38496141098036,6.95505751642719,3865.2143395731837,3999.917740334858,4188.5858502570145,6954.122440987399,-0.0002470871715545654,0.002213300464630127,-7.661491394042968e-06,4.484786987304687e-07,1.7377606947784423
9,0,0.65,-0.4923,-107.03128,-97.18904,3.86451988180662,4.17820536325383,4.38799680109964,6.95716257929079,3864.5198517045988,3999.183896932088,4191.355688082548,6956.235577947411,-0.0003024641485214233,6.232653713226319e-05,-6.287074420523643,5.411815643310546e-07,1.7190646069545745
