,Pos1_x(mm),Pos2_x(mm),C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq_Q1(GHz),Freq_Q2(GHz),Freq_C1(GHz),Freq_C2(GHz)
0,0,0.65,-0.50182,-106.47803,-96.49135,4.18111953434793,4.39160246067536,6.97131860136469,7.2461544341915
1,0,2.1888888888888887,-0.00764,-107.19653,-97.18247,4.18094598742722,4.39166120129329,6.97232059132835,7.24565840175164
2,0,3.7277777777777774,-0.00317,-107.14334,-97.1211,4.18205105776075,4.3924108548045,6.96920142145756,7.2466916106162
3,0,5.266666666666667,-0.00224,-107.17889,-97.23063,4.18059065561544,4.38993006125316,6.97355464532426,7.24455889018733
4,0,6.805555555555555,-0.00147,-107.32545,-97.32616,4.18236242788437,4.39082449830706,6.97172312350565,7.24625372664388
5,0,8.344444444444443,-0.0011,-107.32849,-97.26185,4.1809575207249,4.39173519591813,6.97245035937476,7.24616378600934
6,0,9.883333333333333,-0.00095,-107.34254,-97.32017,4.1805800391375,4.39052411585461,6.9722490203957,7.2467078265239
7,0,11.422222222222222,-0.00082,-107.28586,-97.28882,4.18155838222205,4.39256676735993,6.97149441435382,7.24614054475642
8,0,12.96111111111111,-0.00072,-107.37215,-97.33632,4.17943596742609,4.39011335537202,6.97340095130056,7.24457616868257
9,0,14.5,-0.00058,-107.37399,-97.3562,4.18180042165402,4.39235837471878,6.97282837438294,7.24633555026344
